Job Title,Job Title_0,Job Title_1,Job Title_2,Job Title_3,Job Title_4,Job Title_5,Job Title_6,Job Title_7
Software Engineer,0,0,0,0,0,0,0,1
Data Analyst,0,0,0,0,0,0,1,0
Senior Manager,0,0,0,0,0,0,1,1
Sales Associate,0,0,0,0,0,1,0,0
Director,0,0,0,0,0,1,0,1
Marketing Analyst,0,0,0,0,0,1,1,0
Product Manager,0,0,0,0,0,1,1,1
Sales Manager,0,0,0,0,1,0,0,0
Marketing Coordinator,0,0,0,0,1,0,0,1
Senior Scientist,0,0,0,0,1,0,1,0
Software Developer,0,0,0,0,1,0,1,1
HR Manager,0,0,0,0,1,1,0,0
Financial Analyst,0,0,0,0,1,1,0,1
Project Manager,0,0,0,0,1,1,1,0
Customer Service Rep,0,0,0,0,1,1,1,1
Operations Manager,0,0,0,1,0,0,0,0
Marketing Manager,0,0,0,1,0,0,0,1
Senior Engineer,0,0,0,1,0,0,1,0
Data Entry Clerk,0,0,0,1,0,0,1,1
Sales Director,0,0,0,1,0,1,0,0
Business Analyst,0,0,0,1,0,1,0,1
VP of Operations,0,0,0,1,0,1,1,0
IT Support,0,0,0,1,0,1,1,1
Recruiter,0,0,0,1,1,0,0,0
Financial Manager,0,0,0,1,1,0,0,1
Social Media Specialist,0,0,0,1,1,0,1,0
Software Manager,0,0,0,1,1,0,1,1
Junior Developer,0,0,0,1,1,1,0,0
Senior Consultant,0,0,0,1,1,1,0,1
Product Designer,0,0,0,1,1,1,1,0
CEO,0,0,0,1,1,1,1,1
Accountant,0,0,1,0,0,0,0,0
Data Scientist,0,0,1,0,0,0,0,1
Marketing Specialist,0,0,1,0,0,0,1,0
Senior Manager,0,0,0,0,0,0,1,1
Technical Writer,0,0,1,0,0,0,1,1
HR Generalist,0,0,1,0,0,1,0,0
Project Engineer,0,0,1,0,0,1,0,1
Customer Success Rep,0,0,1,0,0,1,1,0
Sales Executive,0,0,1,0,0,1,1,1
UX Designer,0,0,1,0,1,0,0,0
Operations Director,0,0,1,0,1,0,0,1
Network Engineer,0,0,1,0,1,0,1,0
Administrative Assistant,0,0,1,0,1,0,1,1
Strategy Consultant,0,0,1,0,1,1,0,0
Copywriter,0,0,1,0,1,1,0,1
Account Manager,0,0,1,0,1,1,1,0
Director of Marketing,0,0,1,0,1,1,1,1
Senior Scientist,0,0,0,0,1,0,1,0
Help Desk Analyst,0,0,1,1,0,0,0,0
Customer Service Manager,0,0,1,1,0,0,0,1
Business Intelligence Analyst,0,0,1,1,0,0,1,0
Event Coordinator,0,0,1,1,0,0,1,1
VP of Finance,0,0,1,1,0,1,0,0
Graphic Designer,0,0,1,1,0,1,0,1
Sales Manager,0,0,0,0,1,0,0,0
UX Researcher,0,0,1,1,0,1,1,0
Senior Engineer,0,0,0,1,0,0,1,0
Social Media Manager,0,0,1,1,0,1,1,1
Product Manager,0,0,0,0,0,1,1,1
Director of Operations,0,0,1,1,1,0,0,0
Marketing Analyst,0,0,0,0,0,1,1,0
HR Manager,0,0,0,0,1,1,0,0
Senior Data Scientist,0,0,1,1,1,0,0,1
Junior Accountant,0,0,1,1,1,0,1,0
Digital Marketing Manager,0,0,1,1,1,0,1,1
IT Manager,0,0,1,1,1,1,0,0
Customer Service Representative,0,0,1,1,1,1,0,1
Business Development Manager,0,0,1,1,1,1,1,0
Senior Financial Analyst,0,0,1,1,1,1,1,1
Web Developer,0,1,0,0,0,0,0,0
Recruiter,0,0,0,1,1,0,0,0
Research Director,0,1,0,0,0,0,0,1
Technical Support Specialist,0,1,0,0,0,0,1,0
Creative Director,0,1,0,0,0,0,1,1
Project Manager,0,0,0,0,1,1,1,0
Operations Manager,0,0,0,1,0,0,0,0
Senior Software Engineer,0,1,0,0,0,1,0,0
Human Resources Director,0,1,0,0,0,1,0,1
Content Marketing Manager,0,1,0,0,0,1,1,0
Technical Recruiter,0,1,0,0,0,1,1,1
Data Analyst,0,0,0,0,0,0,1,0
Sales Representative,0,1,0,0,1,0,0,0
Chief Technology Officer,0,1,0,0,1,0,0,1
Junior Designer,0,1,0,0,1,0,1,0
Financial Advisor,0,1,0,0,1,0,1,1
Junior Account Manager,0,1,0,0,1,1,0,0
HR Generalist,0,0,1,0,0,1,0,0
Senior Project Manager,0,1,0,0,1,1,0,1
Marketing Coordinator,0,0,0,0,1,0,0,1
Principal Scientist,0,1,0,0,1,1,1,0
Sales Associate,0,0,0,0,0,1,0,0
Supply Chain Manager,0,1,0,0,1,1,1,1
Senior Marketing Manager,0,1,0,1,0,0,0,0
Business Analyst,0,0,0,1,0,1,0,1
Training Specialist,0,1,0,1,0,0,0,1
Research Scientist,0,1,0,1,0,0,1,0
Junior Software Developer,0,1,0,1,0,0,1,1
Public Relations Manager,0,1,0,1,0,1,0,0
Operations Analyst,0,1,0,1,0,1,0,1
Event Coordinator,0,0,1,1,0,0,1,1
Product Marketing Manager,0,1,0,1,0,1,1,0
Senior HR Manager,0,1,0,1,0,1,1,1
Junior Web Developer,0,1,0,1,1,0,0,0
Senior Project Coordinator,0,1,0,1,1,0,0,1
Chief Data Officer,0,1,0,1,1,0,1,0
Digital Content Producer,0,1,0,1,1,0,1,1
IT Support Specialist,0,1,0,1,1,1,0,0
Senior Marketing Analyst,0,1,0,1,1,1,0,1
Customer Success Manager,0,1,0,1,1,1,1,0
Senior Graphic Designer,0,1,0,1,1,1,1,1
Software Project Manager,0,1,1,0,0,0,0,0
Supply Chain Analyst,0,1,1,0,0,0,0,1
Senior Business Analyst,0,1,1,0,0,0,1,0
Junior Marketing Analyst,0,1,1,0,0,0,1,1
